name	description	index	publication
DBS1		10	Alexandrov L.B. et al. (2018)
DBS2		20	Alexandrov L.B. et al. (2018)
DBS3		30	Alexandrov L.B. et al. (2018)
DBS4		40	Alexandrov L.B. et al. (2018)
DBS5		50	Alexandrov L.B. et al. (2018)
DBS6		60	Alexandrov L.B. et al. (2018)
DBS7		70	Alexandrov L.B. et al. (2018)
DBS8		80	Alexandrov L.B. et al. (2018)
DBS9		90	Alexandrov L.B. et al. (2018)
DBS10		100	Alexandrov L.B. et al. (2018)
DBS11		110	Alexandrov L.B. et al. (2018)
